"","cluster","TF","overlap","TFtargetYes_clusterNo","clusterYes_TFtargetNo","neither","p","FDR","logFDR"
"1","1","Ada2",21,128,78,1305,0.000294320222590046,0.0429830158407547,1.36670311613522
"2","1","Bdf1",54,580,45,1093,6.7213742924659e-05,0.0117792084475465,1.92888389277581
"3","1","Bdf2",50,221,49,1255,2.65234255509268e-15,1.03294007284443e-12,11.985924873822
"4","1","Ccl1",83,592,16,1153,3.45554313082176e-23,1.73023981050432e-20,19.7618936996684
"5","1","Cet1",90,2076,9,636,0.00023704742924495,0.036123966934937,1.4422045639135
"6","1","CTDSer5",79,626,20,1190,3.15550190052684e-19,1.30118048957018e-16,15.8856624573296
"7","1","CTDSer7",78,528,21,1193,1.47615919974783e-21,6.89858399348821e-19,18.1612400435996
"8","1","Eaf6",7,8,92,1317,2.58635048887427e-05,0.00477113603342333,2.32137820077017
"9","1","Esa1",15,64,84,1305,0.0001391527600305,0.0221695647230411,1.65424283373428
"10","1","Fhl1",27,107,72,1314,1.83446732120175e-08,5.14384636864971e-06,5.28871201097109
"11","1","Hmo1",18,45,81,1315,4.27804273816011e-08,1.1132349587879e-05,4.95341316402476
"12","1","Ifh1",21,83,78,1314,1.2680426657412e-06,0.000286404578083505,3.54302004425345
"13","1","Kin28",93,1927,6,678,4.14220274481418e-07,9.67894708038248e-05,4.01417188463905
"14","1","Ncb2",33,227,66,1268,1.26458959646557e-05,0.00239588461384423,2.62053410146528
"15","1","Pob3",35,253,64,1296,7.83046054760349e-06,0.00152476467885279,2.81679717701333
"16","1","Rad3",91,2038,8,655,3.55966513659339e-05,0.00639826989936402,2.19393744394367
"17","1","RPB11",44,436,55,1250,8.18889343590429e-05,0.0138215810410549,1.85944227547612
"18","1","Rpb2",59,587,40,1216,7.4199836693668e-08,1.85764591150933e-05,4.73103706393369
"19","1","Rpb3",60,838,39,1141,0.000272088973743203,0.0405817809774436,1.39166889737898
"20","1","Rpb4",48,518,51,1237,8.97256364706796e-05,0.0146273653874294,1.83483388991973
"21","1","Rpb7",54,533,45,1211,1.30741034217863e-06,0.000286404578083505,3.54302004425345
"22","1","Rpb9",48,446,51,1250,3.93709882147691e-06,0.00081173713936921,3.09058458332436
"23","1","Sfp1",15,32,84,1314,1.46852308620783e-07,3.54977477045409e-05,4.44979920160745
"24","1","Sgf11",21,122,78,1305,0.000169860692491372,0.0264605212081005,1.57740160551614
"25","1","Sgf29",36,171,63,1305,9.11816514096282e-10,2.77905815818041e-07,6.55610236451714
"26","1","Spt15",81,978,18,1003,6.2181780464101e-11,2.07568705263499e-08,7.68283812363609
"27","1","Ssl1",88,1723,11,758,6.19411807796201e-06,0.00124059336361468,2.90637054636405
"28","1","Stb3",14,36,85,1316,2.30445337608165e-06,0.000489521762616132,3.31022799604878
"29","1","Sub1",58,526,41,1209,1.53514706374925e-08,4.48390871536759e-06,5.34834323747218
"30","1","Taf1",55,102,44,1306,6.00859104037753e-32,7.02003719884108e-29,28.1536605865584
"31","1","Taf10",60,168,39,1282,3.87063834988198e-28,2.4666522575157e-25,24.607892071948
"32","1","Taf11",47,74,52,1309,1.37683129810377e-28,9.65158739970741e-26,25.0154012522274
"33","1","Taf12",63,154,36,1292,7.87986725201338e-33,1.10475738873228e-29,28.9567330851493
"34","1","Taf13",61,112,38,1302,1.15058983241311e-36,6.16230796247102e-33,32.2102566015303
"35","1","Taf14",54,88,45,1310,2.65682192602774e-33,4.65608042536362e-30,29.3319795266421
"36","1","Taf2",77,521,22,1153,2.77766920046777e-20,1.21696631845494e-17,16.9147214414179
"37","1","Taf3",78,468,21,1200,5.36996719401451e-24,3.13695583583681e-21,20.5034915955475
"38","1","Taf4",59,202,40,1272,6.42126161532041e-24,3.46254184026124e-21,20.4606049700185
"39","1","Taf5",59,116,40,1301,6.86732718090987e-34,1.60466545127261e-30,29.7946154977207
"40","1","Taf6",62,120,37,1300,1.75814777816577e-36,6.16230796247102e-33,32.2102566015303
"41","1","TAF7",59,143,40,1303,2.67039630449778e-30,2.33993476181618e-27,26.6307962507002
"42","1","Taf8",66,206,33,1269,5.5310339922271e-30,4.30806092061244e-27,26.3657181639398
"43","1","Taf9",63,171,36,1284,9.13483803410361e-31,9.14788780272376e-28,27.03867917058
"44","1","Tfb1",85,1066,14,952,9.74298748129012e-12,3.41491711219219e-09,8.46661983316969
"45","1","Tfb2",87,1274,12,882,7.16061827565669e-10,2.28163336874334e-07,6.64175414025252
"46","1","Tfb3",90,1576,9,772,4.28778086836994e-08,1.1132349587879e-05,4.95341316402476
"47","1","TOA1",87,989,12,1001,4.29496922086975e-15,1.58461759148931e-12,11.8000755271016
"48","1","Yng2",11,32,88,1312,8.28111845541093e-05,0.0138215810410549,1.85944227547612
