"time","ratio","ratio_sd","factorName"
10,0,0,"TBP"
20,0.0668815,0.037904459,"TBP"
25,0.1881925,0.00369039,"TBP"
30,0.3927595,0.04699361,"TBP"
40,0.702039,0.056301256,"TBP"
60,0.93478,0.084708564,"TBP"
90,1.0869705,0.049201197,"TBP"
120,1,0,"TBP"
10,0,0,"TFIIA"
20,0.00807255,0.025798572,"TFIIA"
25,0.041814517,0.027755584,"TFIIA"
30,0.134598958,0.024786184,"TFIIA"
40,0.236474998,0.105280026,"TFIIA"
60,0.4433163,0.132881357,"TFIIA"
90,0.908601116,0.115469695,"TFIIA"
120,1,0.048768136,"TFIIA"
10,0.005503336,0.004296378,"TFIIB"
20,0.024852185,0.008059572,"TFIIB"
25,0.122603924,0.004617117,"TFIIB"
30,0.234404523,0.092350999,"TFIIB"
40,0.373566325,0.06212647,"TFIIB"
60,0.823672485,0.037105177,"TFIIB"
90,1.036303034,0.096476744,"TFIIB"
120,1,0.10030347,"TFIIB"
10,0.00404041,0.008561589,"TFIIE"
20,0.130586375,0.044118566,"TFIIE"
25,0.211741168,0.041641221,"TFIIE"
30,0.308295684,0.043437913,"TFIIE"
40,0.466107269,0.028244371,"TFIIE"
60,0.733978309,0.094916351,"TFIIE"
90,0.964856915,0.015709032,"TFIIE"
120,1,0.019709711,"TFIIE"
10,0.003874064,0.006087933,"TFIIF"
20,0.004729549,0.003031734,"TFIIF"
25,0.012858509,0.007339118,"TFIIF"
30,0.05317401,0.090755185,"TFIIF"
40,0.441221928,0.408982398,"TFIIF"
60,0.87291145,0.128566542,"TFIIF"
90,0.978397232,0.218946831,"TFIIF"
120,1,0.303050037,"TFIIF"
